"StationCode","DateFormatted","DateTimeFormatted","Sal","DO_pct"
"apalmwq",2016-12-21,2016-12-21 08:45:00,0.1,77.9
"apalmwq",2016-12-21,2016-12-21 09:00:00,0.1,78
"apalmwq",2016-12-21,2016-12-21 09:15:00,0.1,77.9
"apalmwq",2016-12-21,2016-12-21 09:30:00,0.1,78.1
"apalmwq",2016-12-21,2016-12-21 09:45:00,0.1,78.3
"apalmwq",2016-12-21,2016-12-21 10:00:00,0.1,78.5
"apalmwq",2016-12-21,2016-12-21 10:15:00,0.1,78.6
"apalmwq",2016-12-21,2016-12-21 10:30:00,0.1,78.7
"apalmwq",2016-12-21,2016-12-21 10:45:00,0.1,79
"apalmwq",2016-12-21,2016-12-21 11:00:00,0.1,79
"apalmwq",2016-12-21,2016-12-21 11:15:00,0.1,79.3
"apalmwq",2016-12-21,2016-12-21 11:30:00,0.1,79.8
"apalmwq",2016-12-21,2016-12-21 11:45:00,0.1,80
"apalmwq",2016-12-21,2016-12-21 12:00:00,0.1,80.2
"apalmwq",2016-12-21,2016-12-21 12:15:00,0.1,80.6
"apalmwq",2016-12-21,2016-12-21 12:30:00,0.1,81
"apalmwq",2016-12-21,2016-12-21 12:45:00,0.1,81.3
"apalmwq",2016-12-21,2016-12-21 13:00:00,0.1,81.5
"apalmwq",2016-12-21,2016-12-21 13:15:00,0.1,81.7
"apalmwq",2016-12-21,2016-12-21 13:30:00,0.1,81.7
"apalmwq",2016-12-21,2016-12-21 13:45:00,0.1,81.9
"apalmwq",2016-12-21,2016-12-21 14:00:00,0.1,82.2
"apalmwq",2016-12-21,2016-12-21 14:15:00,0.1,82.2
"apalmwq",2016-12-21,2016-12-21 14:30:00,0.1,82.1
"apalmwq",2016-12-21,2016-12-21 14:45:00,0.1,82.4
"apalmwq",2016-12-21,2016-12-21 15:00:00,0.1,82.6
"apalmwq",2016-12-21,2016-12-21 15:15:00,0.1,82.6
"apalmwq",2016-12-21,2016-12-21 15:30:00,0.1,82.7
"apalmwq",2016-12-21,2016-12-21 15:45:00,0.1,82.5
"apalmwq",2016-12-21,2016-12-21 16:00:00,0.1,82.7
"apalmwq",2016-12-21,2016-12-21 16:15:00,0.1,82.4
"apalmwq",2016-12-21,2016-12-21 16:30:00,0.1,82.5
"apalmwq",2016-12-21,2016-12-21 16:45:00,0.1,82.5
"apalmwq",2016-12-21,2016-12-21 17:00:00,0.1,82.6
"apalmwq",2016-12-21,2016-12-21 17:15:00,0.1,82.6
"apalmwq",2016-12-21,2016-12-21 17:30:00,0.1,82.4
"apalmwq",2016-12-21,2016-12-21 17:45:00,0.1,82.5
"apalmwq",2016-12-21,2016-12-21 18:00:00,0.1,82.4
"apalmwq",2016-12-21,2016-12-21 18:15:00,0.1,82.2
"apalmwq",2016-12-21,2016-12-21 18:30:00,0.1,82.2
"apalmwq",2016-12-21,2016-12-21 18:45:00,0.1,81.8
"apalmwq",2016-12-21,2016-12-21 19:00:00,0.1,81.7
"apalmwq",2016-12-21,2016-12-21 19:15:00,0.1,81.1
"apalmwq",2016-12-21,2016-12-21 19:30:00,0.1,80.6
"apalmwq",2016-12-21,2016-12-21 19:45:00,0.1,79.9
"apalmwq",2016-12-21,2016-12-21 20:00:00,0.1,78.9
"apalmwq",2016-12-21,2016-12-21 20:15:00,0.1,77.6
"apalmwq",2016-12-21,2016-12-21 20:30:00,0.1,77.1
"apalmwq",2016-12-21,2016-12-21 20:45:00,0.1,77.3
"apalmwq",2016-12-21,2016-12-21 21:00:00,0.1,75.8
"apalmwq",2016-12-21,2016-12-21 21:15:00,0.1,75.8
"apalmwq",2016-12-21,2016-12-21 21:30:00,0.1,74.7
